month,city,orders,aov_rub,gmv_rub,take_rate,platform_revenue_rub,cac_rub,new_customers,marketing_spend_rub
1,Якутск,120,45000,5400000,0.08,432000,2800,70,196000
2,Якутск,180,45000,8100000,0.08,648000,2800,95,266000
3,Якутск,260,47000,12220000,0.08,977600,2100,120,252000
4,Якутск,360,47000,16920000,0.08,1353600,2100,150,315000
5,Якутск,480,50000,24000000,0.08,1920000,1700,185,314500
6,Якутск,620,50000,31000000,0.08,2480000,1700,220,374000
7,Владивосток,720,52000,37440000,0.08,2995200,1900,260,494000
8,Владивосток,860,52000,44720000,0.08,3577600,1900,300,570000
9,Иркутск,980,53000,51940000,0.08,4155200,1800,340,612000
10,Иркутск,1140,53000,60420000,0.08,4833600,1800,380,684000
11,Новосибирск,1320,56000,73920000,0.08,5913600,1750,430,752500
12,Новосибирск,1520,56000,85120000,0.08,6809600,1750,470,822500
13,Екатеринбург,1760,58000,102080000,0.08,8166400,1700,520,884000
14,Екатеринбург,1980,58000,114840000,0.08,9187200,1700,560,952000
15,Екатеринбург,2200,60000,132000000,0.08,10560000,1650,600,990000
16,Екатеринбург,2460,60000,147600000,0.08,11808000,1650,660,1089000
17,Екатеринбург,2740,62000,169880000,0.08,13590400,1600,720,1152000
18,Екатеринбург,3060,62000,189720000,0.08,15177600,1600,780,1248000
19,Екатеринбург,3400,65000,221000000,0.08,17680000,1550,860,1333000
20,Екатеринбург,3780,65000,245700000,0.08,19656000,1550,920,1426000
21,Екатеринбург,4200,68000,285600000,0.08,22848000,1500,1000,1500000
22,Екатеринбург,4680,68000,318240000,0.08,25459200,1500,1080,1620000
23,Екатеринбург,5200,70000,364000000,0.08,29120000,1500,1180,1770000
24,Екатеринбург,5780,70000,404600000,0.08,32368000,1500,1280,1920000
